"","Habitat","Mangrove_Dist","Depth","Slope","Curvature","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal"
"Habitat",1,-0.0407371456591381,0.00789141939494232,0.0854566242545591,0.00666072908861411,0.0292289353597275,0.00712574934768541,0.0523900895481472,0.261529748456342,0.0536374086653201,0.279877300857495,0.0786896539170684
"Mangrove_Dist",-0.0407371456591381,1,-0.32740347940207,0.109644509386079,-0.000221958680400578,0.0374449564947844,-0.0847039515934045,-0.0133281271720225,0.12541143342409,0.0878766014948257,0.192541493232824,0.0147075801940639
"Depth",0.00789141939494232,-0.32740347940207,1,-0.382503367292442,0.0193031848371229,0.0212392185717517,0.532598156957365,-0.0161195093674962,0.221893061956961,-0.0820321269172662,-0.300647490908052,-0.297242531694739
"Slope",0.0854566242545591,0.109644509386079,-0.382503367292442,1,0.00501894069647959,0.210355025879098,-0.208293815350664,0.393306479365176,-0.18659011850061,0.0161290356681182,0.0649403264984549,0.133399971428518
"Curvature",0.00666072908861411,-0.000221958680400578,0.0193031848371229,0.00501894069647959,1,0.190307283151183,0.0445551243571399,-0.011274579351543,4.64424783945604e-05,1.26157243560396e-05,-3.48952010837921e-05,1.63256332501775e-05
"BPI_Fine",0.0292289353597275,0.0374449564947844,0.0212392185717517,0.210355025879098,0.190307283151183,1,0.226265421875498,0.0994734619764281,-0.0560081595431336,-0.00032760002055652,-0.00418514017174558,0.0320201982659886
"BPI_Broad",0.00712574934768541,-0.0847039515934045,0.532598156957365,-0.208293815350664,0.0445551243571399,0.226265421875498,1,-0.00944693055720637,0.00241419723202145,0.000880197349768559,-0.0127138803416166,0.015648463270431
"Rugosity",0.0523900895481472,-0.0133281271720225,-0.0161195093674962,0.393306479365176,-0.011274579351543,0.0994734619764281,-0.00944693055720637,1,-0.0222934212307777,-0.00747953540989218,-0.0125885943527976,0.00232131201813408
"Mean_Sum_Temp",0.261529748456342,0.12541143342409,0.221893061956961,-0.18659011850061,4.64424783945604e-05,-0.0560081595431336,0.00241419723202145,-0.0222934212307777,1,0.284580550532337,0.420441799249304,0.196908614398376
"Mean_Sum_Sal",0.0536374086653201,0.0878766014948257,-0.0820321269172662,0.0161290356681182,1.26157243560396e-05,-0.00032760002055652,0.000880197349768559,-0.00747953540989218,0.284580550532337,1,0.259875670279823,0.613458625805386
"Mean_Win_Temp",0.279877300857495,0.192541493232824,-0.300647490908052,0.0649403264984549,-3.48952010837921e-05,-0.00418514017174558,-0.0127138803416166,-0.0125885943527976,0.420441799249304,0.259875670279823,1,0.568460539907808
"Mean_Win_Sal",0.0786896539170684,0.0147075801940639,-0.297242531694739,0.133399971428518,1.63256332501775e-05,0.0320201982659886,0.015648463270431,0.00232131201813408,0.196908614398376,0.613458625805386,0.568460539907808,1
