"","Habitat","Mangrove_Dist","Depth","SD_Depth","Slope","Curvature","Plan_Curve","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_DO","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_DO","Mean_Win_Sal"
"Habitat",1,0.0359204986960762,-0.130690981630508,0.237317141496023,0.223234260615831,0.00828821731629502,0.0117790079196219,0.0851841196834597,0.030677493236724,0.117971759478317,0.0967300224986821,0.126384537555264,-0.00059863859596039,0.200116753247407,-0.0669299904192008,0.0453812338211264
"Mangrove_Dist",0.0359204986960762,1,-0.501883732178089,0.286404539952879,0.295595843391431,-0.000228090516453421,-0.00287951988901322,0.104117055946862,-0.0712652759808273,0.00202131215278262,-0.32826976744757,0.288746055357016,0.130262983052186,0.377752515727175,-0.239293964045666,0.199825946547747
"Depth",-0.130690981630508,-0.501883732178089,1,-0.40624697176079,-0.417330004011768,0.0249293569894975,0.00809405713272614,0.0163449053122027,0.616298484535152,-0.0248267522114161,0.102822885218616,-0.481106416067473,-0.164389276127605,-0.583467974178319,0.235718105842042,-0.390457402255789
"SD_Depth",0.237317141496023,0.286404539952879,-0.40624697176079,1,0.998730754712718,0.0171419406965004,0.0602855231765121,0.228415176620285,-0.170258416377883,0.46159692379044,-0.0521305872336079,0.257557330292402,0.0621937048328746,0.308744060846856,-0.0972842524583469,0.18647900980115
"Slope",0.223234260615831,0.295595843391431,-0.417330004011768,0.998730754712718,1,0.0169762412844954,0.0576960949116483,0.224445509185622,-0.176957167588906,0.423891716814367,-0.0559000066420598,0.261730339701619,0.0646889525049595,0.314112305252431,-0.100217125976652,0.191119869636844
"Curvature",0.00828821731629502,-0.000228090516453421,0.0249293569894975,0.0171419406965004,0.0169762412844954,1,0.732043238497796,0.205721075793608,0.0496107260893281,0.0389692619885592,3.689030230845e-05,-3.64617774452723e-07,-3.69412951536892e-06,-8.013337045199e-05,-1.16936325487903e-05,1.28947741737856e-05
"Plan_Curve",0.0117790079196219,-0.00287951988901322,0.00809405713272614,0.0602855231765121,0.0576960949116483,0.732043238497796,1,0.128134799093548,0.0283394648730433,0.0910114788879377,0.00608296347009394,0.00453890927786685,0.000291290486495378,0.00721741690981081,-0.00114438902348563,0.00308858833893304
"BPI_Fine",0.0851841196834597,0.104117055946862,0.0163449053122027,0.228415176620285,0.224445509185622,0.205721075793608,0.128134799093548,1,0.257898219405034,0.111415175168766,-0.0156379540952829,0.088394487731622,0.020245467657378,0.1046089527432,-0.0339909853272362,0.0652423060057635
"BPI_Broad",0.030677493236724,-0.0712652759808273,0.616298484535152,-0.170258416377883,-0.176957167588906,0.0496107260893281,0.0283394648730433,0.257898219405034,1,-0.00468112805842465,0.036444990166362,0.00724879810957516,0.00115624226097795,-0.0183971044731138,-0.0064116896488296,0.0154870247289861
"Rugosity",0.117971759478317,0.00202131215278262,-0.0248267522114161,0.46159692379044,0.423891716814367,0.0389692619885592,0.0910114788879377,0.111415175168766,-0.00468112805842465,1,0.0102642463283967,0.0210663348770924,0.000641977399352823,0.0241131674171434,0.000118702346086566,0.00937047115435312
"Mean_Sum_Temp",0.0967300224986821,-0.32826976744757,0.102822885218616,-0.0521305872336079,-0.0559000066420598,3.689030230845e-05,0.00608296347009394,-0.0156379540952829,0.036444990166362,0.0102642463283967,1,0.0944273775465403,0.254932887172541,0.1723532779412,-0.347463379964711,0.209139172988032
"Mean_Sum_DO",0.126384537555264,0.288746055357016,-0.481106416067473,0.257557330292402,0.261730339701619,-3.64617774452723e-07,0.00453890927786685,0.088394487731622,0.00724879810957516,0.0210663348770924,0.0944273775465403,1,0.323812684824829,0.923087671956201,-0.322695866875953,0.817096979896205
"Mean_Sum_Sal",-0.00059863859596039,0.130262983052186,-0.164389276127605,0.0621937048328746,0.0646889525049595,-3.69412951536892e-06,0.000291290486495378,0.020245467657378,0.00115624226097795,0.000641977399352823,0.254932887172541,0.323812684824829,1,0.252877776776422,-0.78111532547989,0.625070791443444
"Mean_Win_Temp",0.200116753247407,0.377752515727175,-0.583467974178319,0.308744060846856,0.314112305252431,-8.013337045199e-05,0.00721741690981081,0.1046089527432,-0.0183971044731138,0.0241131674171434,0.1723532779412,0.923087671956201,0.252877776776422,1,-0.352536664816522,0.725110489525202
"Mean_Win_DO",-0.0669299904192008,-0.239293964045666,0.235718105842042,-0.0972842524583469,-0.100217125976652,-1.16936325487903e-05,-0.00114438902348563,-0.0339909853272362,-0.0064116896488296,0.000118702346086566,-0.347463379964711,-0.322695866875953,-0.78111532547989,-0.352536664816522,1,-0.670151812685684
"Mean_Win_Sal",0.0453812338211264,0.199825946547747,-0.390457402255789,0.18647900980115,0.191119869636844,1.28947741737856e-05,0.00308858833893304,0.0652423060057635,0.0154870247289861,0.00937047115435312,0.209139172988032,0.817096979896205,0.625070791443444,0.725110489525202,-0.670151812685684,1
