"","Habitat","Mangrove_Dist","Depth","Slope","Curvature","BPI_Fine","BPI_Broad","Rugosity","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Sal"
"Habitat",1,0.0359204986960762,-0.130690981630508,0.223234260615831,0.00828821731629502,0.0851841196834597,0.030677493236724,0.117971759478317,0.0967300224986821,-0.00059863859596039,0.0453812338211264
"Mangrove_Dist",0.0359204986960762,1,-0.501883732178089,0.295595843391431,-0.000228090516453421,0.104117055946862,-0.0712652759808273,0.00202131215278262,-0.32826976744757,0.130262983052186,0.199825946547747
"Depth",-0.130690981630508,-0.501883732178089,1,-0.417330004011768,0.0249293569894975,0.0163449053122027,0.616298484535152,-0.0248267522114161,0.102822885218616,-0.164389276127605,-0.390457402255789
"Slope",0.223234260615831,0.295595843391431,-0.417330004011768,1,0.0169762412844954,0.224445509185622,-0.176957167588906,0.423891716814367,-0.0559000066420598,0.0646889525049595,0.191119869636844
"Curvature",0.00828821731629502,-0.000228090516453421,0.0249293569894975,0.0169762412844954,1,0.205721075793608,0.0496107260893281,0.0389692619885592,3.689030230845e-05,-3.69412951536892e-06,1.28947741737856e-05
"BPI_Fine",0.0851841196834597,0.104117055946862,0.0163449053122027,0.224445509185622,0.205721075793608,1,0.257898219405034,0.111415175168766,-0.0156379540952829,0.020245467657378,0.0652423060057635
"BPI_Broad",0.030677493236724,-0.0712652759808273,0.616298484535152,-0.176957167588906,0.0496107260893281,0.257898219405034,1,-0.00468112805842465,0.036444990166362,0.00115624226097795,0.0154870247289861
"Rugosity",0.117971759478317,0.00202131215278262,-0.0248267522114161,0.423891716814367,0.0389692619885592,0.111415175168766,-0.00468112805842465,1,0.0102642463283967,0.000641977399352823,0.00937047115435312
"Mean_Sum_Temp",0.0967300224986821,-0.32826976744757,0.102822885218616,-0.0559000066420598,3.689030230845e-05,-0.0156379540952829,0.036444990166362,0.0102642463283967,1,0.254932887172541,0.209139172988032
"Mean_Sum_Sal",-0.00059863859596039,0.130262983052186,-0.164389276127605,0.0646889525049595,-3.69412951536892e-06,0.020245467657378,0.00115624226097795,0.000641977399352823,0.254932887172541,1,0.625070791443444
"Mean_Win_Sal",0.0453812338211264,0.199825946547747,-0.390457402255789,0.191119869636844,1.28947741737856e-05,0.0652423060057635,0.0154870247289861,0.00937047115435312,0.209139172988032,0.625070791443444,1
