"","Habitat","Mangrove_Dist","Depth","Slope","Curvature","BPI_Fine","BPI_Broad","Rugosity","Sum_Temp","Sum_Sal","Win_Sal"
"Habitat",1,0.0359204986960762,-0.130690981630508,0.223234260615831,0.00828821731629502,0.0851841196834597,0.030677493236724,0.117971759478317,0.0967307640337197,-0.00285152635134241,0.0476273561221787
"Mangrove_Dist",0.0359204986960762,1,-0.501883732178089,0.295595843391431,-0.000228090516453421,0.104117055946862,-0.0712652759808273,0.00202131215278262,-0.328268444777654,0.129763114882865,0.207077003661808
"Depth",-0.130690981630508,-0.501883732178089,1,-0.417330004011768,0.0249293569894975,0.0163449053122027,0.616298484535152,-0.0248267522114161,0.102822199924326,-0.169577753494814,-0.395025898847301
"Slope",0.223234260615831,0.295595843391431,-0.417330004011768,1,0.0169762412844954,0.224445509185622,-0.176957167588906,0.423891716814367,-0.05589984210097,0.0673711076333688,0.195147688686445
"Curvature",0.00828821731629502,-0.000228090516453421,0.0249293569894975,0.0169762412844954,1,0.205721075793608,0.0496107260893281,0.0389692619885592,3.6889843878821e-05,-5.33602346000875e-06,1.37403529988198e-05
"BPI_Fine",0.0851841196834597,0.104117055946862,0.0163449053122027,0.224445509185622,0.205721075793608,1,0.257898219405034,0.111415175168766,-0.0156379846383765,0.0210748580941987,0.0668839452201832
"BPI_Broad",0.030677493236724,-0.0712652759808273,0.616298484535152,-0.176957167588906,0.0496107260893281,0.257898219405034,1,-0.00468112805842465,0.0364447790865995,0.00135304992787184,0.0154412648175171
"Rugosity",0.117971759478317,0.00202131215278262,-0.0248267522114161,0.423891716814367,0.0389692619885592,0.111415175168766,-0.00468112805842465,1,0.010264195030382,0.000916213910834252,0.00970294994233729
"Sum_Temp",0.0967307640337197,-0.328268444777654,0.102822199924326,-0.05589984210097,3.6889843878821e-05,-0.0156379846383765,0.0364447790865995,0.010264195030382,1,0.263269229237997,0.212089936880921
"Sum_Sal",-0.00285152635134241,0.129763114882865,-0.169577753494814,0.0673711076333688,-5.33602346000875e-06,0.0210748580941987,0.00135304992787184,0.000916213910834252,0.263269229237997,1,0.635575171398267
"Win_Sal",0.0476273561221787,0.207077003661808,-0.395025898847301,0.195147688686445,1.37403529988198e-05,0.0668839452201832,0.0154412648175171,0.00970294994233729,0.212089936880921,0.635575171398267,1
