"","Variable","Coefficient","Species","Odds_Ratio"
"1","Intercept",-1.14361741554581,"Lutjanus griseus",0.318664193521163
"2","Scattered Coral/Rock",-0.133455935509,"Lutjanus griseus",0.875066027467172
"3","Continuous Seagrass",0.0100289289975928,"Lutjanus griseus",1.01007938724567
"4","Discontinuous Seagrass",-0.168063130135731,"Lutjanus griseus",0.845300469066842
"5","Unconsolidated Sediment",-0.0273649112260839,"Lutjanus griseus",0.973006115878878
"6","Aggregate Reef",0.0176039932850355,"Lutjanus griseus",1.01775985683851
"7","Pavement",-0.2467402717532,"Lutjanus griseus",0.781343604183885
"8","Reef Rubble",-0.278808578999128,"Lutjanus griseus",0.756684734701972
"9","Mangrove",-0.0255262366867468,"Lutjanus griseus",0.974796803191864
"10","Mangrove Distance",-0.445371019546084,"Lutjanus griseus",0.640586561801346
"11","Depth",-0.61823710069088,"Lutjanus griseus",0.538893615879103
"12","Slope",0.0419064198045419,"Lutjanus griseus",1.0427968890479
"13","Curvature",0.00051635355156054,"Lutjanus griseus",1.000516486885
"14","Rugosity",-0.123070123622161,"Lutjanus griseus",0.884201656963911
"15","BPI Broad",0.0401829373746554,"Lutjanus griseus",1.04100119479992
"16","BPI Fine",0.139726338655314,"Lutjanus griseus",1.14995905645105
"17","Summer Temperature",0.356773164379337,"Lutjanus griseus",1.4287117503777
"18","Summer Salinity",-0.0774758406061797,"Lutjanus griseus",0.925449382422648
"19","Winter Salinity",0.172270975843591,"Lutjanus griseus",1.18799970882496
"20","Intercept",-1.23440318502477,"Haemulon sciurus",0.291008388715598
"21","Scattered Coral/Rock",-0.0237752438999449,"Haemulon sciurus",0.976505160587107
"22","Continuous Seagrass",-0.0715406386155624,"Haemulon sciurus",0.930958443963805
"23","Discontinuous Seagrass",-0.297576152919407,"Haemulon sciurus",0.74261602868883
"24","Unconsolidated Sediment",-0.180871982580864,"Haemulon sciurus",0.834542187794693
"25","Aggregate Reef",-0.164138111375941,"Haemulon sciurus",0.848624809046145
"26","Pavement",-0.397816883540671,"Haemulon sciurus",0.671785031296032
"27","Reef Rubble",-0.243947937720653,"Haemulon sciurus",0.783528425476775
"28","Mangrove",-0.210610817102138,"Haemulon sciurus",0.810089278432732
"29","Mangrove Distance",-0.0809845694700337,"Haemulon sciurus",0.922207921491787
"30","Depth",-0.482425395717804,"Haemulon sciurus",0.617284415757267
"31","Slope",0.204122615322778,"Haemulon sciurus",1.2264485256189
"32","Curvature",-0.015739068712325,"Haemulon sciurus",0.984384143169279
"33","Rugosity",-0.068228536239816,"Haemulon sciurus",0.934046985597373
"34","BPI Broad",-0.0831447935397737,"Haemulon sciurus",0.920217895966877
"35","BPI Fine",0.0771206523688661,"Haemulon sciurus",1.08017239388899
"36","Summer Temperature",0.049229147504183,"Haemulon sciurus",1.05046103368714
"37","Summer Salinity",0.426929571528257,"Haemulon sciurus",1.53254472314036
"38","Winter Salinity",1.19416899226009,"Haemulon sciurus",3.30081362878457
